PlayerName,TeamName,Season,Gol/Sh,npxG/Sh
Erling Håland,Borussia Dortmund,2019-2020,0.37,0.23
Mauro Icardi,Paris Saint-Germain FC,2019-2020,0.33,0.28
Jadon Sancho,Borussia Dortmund,2019-2020,0.33,0.18
Andreas Cornelius,Parma FC,2019-2020,0.27,0.16
Ante Rebic,AC Milan,2019-2020,0.26,0.17
Kasper Dolberg,OGC Nice,2019-2020,0.26,0.17
Francesco Caputo,US Sassuolo Calcio,2019-2020,0.26,0.2
Mason Greenwood,Manchester United FC,2019-2020,0.26,0.1
Andrej Kramaric,TSG 1899 Hoffenheim,2019-2020,0.25,0.2
Moussa Dembélé,Olympique Lyonnais,2019-2020,0.24,0.15
Sadio Mané,Liverpool FC,2019-2020,0.24,0.19
Wissam Ben Yedder,AS Monaco FC,2019-2020,0.24,0.18
Danny Ings,Southampton FC,2019-2020,0.23,0.17
Pierre-Emerick Aubameyang,Arsenal FC,2019-2020,0.22,0.16
Robert Lewandowski,FC Bayern Munich,2019-2020,0.22,0.18
Anthony Martial,Manchester United FC,2019-2020,0.22,0.13
Jamie Vardy,Leicester City FC,2019-2020,0.22,0.2
Raheem Sterling,Manchester City FC,2019-2020,0.21,0.16
Timo Werner,RB Leipzig,2019-2020,0.21,0.17
Harry Kane,Tottenham Hotspur FC,2019-2020,0.21,0.12
Duván Zapata,Atalanta BC,2019-2020,0.2,0.15
Loren Morón,Real Betis,2019-2020,0.2,0.16
André Silva,Eintracht Frankfurt,2019-2020,0.2,0.18
Jhon Córdoba,1. FC Köln,2019-2020,0.2,0.15
Carlos Fernández,Granada CF,2019-2020,0.2,0.18
Patrik Schick,RB Leipzig,2019-2020,0.2,0.12
Kylian Mbappé,Paris Saint-Germain FC,2019-2020,0.2,0.2
Chris Wood,Burnley FC,2019-2020,0.2,0.19
Gerard Moreno,Villarreal CF,2019-2020,0.2,0.14
Ante Budimir,RCD Mallorca,2019-2020,0.2,0.16
Alexandre Lacazette,Arsenal FC,2019-2020,0.19,0.16
Willian José,Real Sociedad,2019-2020,0.19,0.18
Jeremie Boga,US Sassuolo Calcio,2019-2020,0.19,0.08
Sergio Agüero,Manchester City FC,2019-2020,0.19,0.16
